1,USER,I want to remain logged in throughout my browser session,so that I don't have to re-authenticate for every action I perform,,-1,pending
2,ADMIN,I want to be able to setup a new user account,So that I can login,,-1,pending
3,USER,I want a login screen,so that I can login,,1,done
4,USER,I would like to be able to create a new application,so that I can start the process of having it reviewed,,1,done
5,APPLICANT,I want the first stage of creating an application to be filling in a simple checklist,So that I can work out if I need a full application,,1,done
6,APPLICANT,I want the second stage of the process to be filling in an application form which comprises easy to understand and to fill in section,so that thte porcess is as intuitive as possible,,1,done
7,APPLICANT,I want to be able to save my application progress,so that I can come back and finish it later,,1,done
8,APPLICANT,I want to see a list of my active applications and their current status,so that it is easy to see the progress of these applications,,1,done
9,SUPERVISOR,I want to see which of my students applications requires attention,so that I can act upon that application,,1,done
10,RESEARCHER,I want to know exactly what supplementary materials I sheould be submitting ,so that I don't submit my application wiothout them,,-1,pending
11,ADMIN,I want the system to come pre-configured with the psychology checklist and application form,so that it will work out of the box for psychology,,1,done
12,USER,I want a reset password function,so that I can regain access if I forget my password,,-1,pending
13,USER,I want to select an option to remain logged in for 2 weeks ,so that I don't have to re-authenticate for that period,,-1,pending
14,APPLICANT,I want the option to upload my own consent/debrief (etc) forms,So that I can have the freedom to create the forms that are appropriate for my needs,,-1,pending
15,APPLICANT,I want the option to generate standard consent/debrief forms,so that I don't have to write my own if not required,,-1,pending
16,APPLICANT,"I want to be informed after the checklist whether or not I have to undergo a full review, and what the approval timelines are",so that I feel well informewd about the process,,-1,pending
17,APPLICANT,I want to be able to search for a specific application,so that I can review the details of that application at any time,,-1,pending
18,ADMIN,I want to addd questions to an application section that allow the applicant to select from a list of options,so that I can predefine known options,,1,done
19,REVIEWER,I want my identity to be annonymous during the course of an applications review,so that researchers can't contact me directly,,-1,pending
20,REVIEWER,I want to be alerted by email when there is an application awaiting my review,so that I don't manually have to check the site,,-1,pending
21,SUPERVISOR,I would like to be notified by email for all the major lifecycle events of an application belonging to one of my students,so that I am well informed of its progress,,-1,pending
22,USER,I would like to know the identity of my applications reviewers once the review is complete,so that I can contact them with any follow up,,-1,pending
23,SUPERVISOR,I would like to be able to correct my researchers application without sending it back to them ,to save time by not having to send the application back to the researcher if only minor modifications are required,,-1,pending
